RN	half_life	units	num_dat
Ac-223	2.1	m	480
Ac-224	2.78	h	682
Ac-225	10	d	778
Ac-226	29.37	h	260
Ac-227	21.772	y	663
Ac-228	6.15	h	1855
Ac-230	122	s	987
Ac-231	7.5	m	200
Ac-232	119	s	301
Ac-233	145	s	106
Ag-100m	2.24	m	139
Ag-101	11.1	m	563
Ag-102m	7.7	m	230
Ag-102	12.9	m	223
Ag-103	65.7	m	801
Ag-104	69.2	m	582
Ag-104m	33.5	m	588
Ag-105	41.29	d	465
Ag-105m	7.23	m	241
Ag-106	23.96	m	308
Ag-106m	8.28	d	450
Ag-108	2.37	m	201
Ag-108m	418	y	138
Ag-109m	39.6	s	60
Ag-110	24.6	s	214
Ag-110m	249.76	d	524
Ag-111	7.45	d	160
Ag-111m	64.8	s	203
Ag-112	3.13	h	571
Ag-113m	68.7	s	275
Ag-113	5.37	h	308
Ag-114	4.6	s	355
Ag-115	20	m	852
Ag-116	2.68	m	508
Ag-117	73.6	s	527
Ag-99	124	s	591
Al-26	717000	y	30
Al-28	2.2414	m	26
Al-29	6.56	m	64
Am-237	73	m	384
Am-238	98	m	523
Am-239	11.9	h	380
Am-240	50.8	h	346
Am-241	432.2	y	890
Am-242	16.02	h	173
Am-242m	141	y	491
Am-243	7370	y	212
Am-244	10.1	h	137
Am-244m	26	m	147
Am-245	2.05	h	133
Am-246	39	m	177
Am-246m	25	m	1610
Am-247	23	m	106
Ar-37	35.04	d	20
Ar-39	269	y	1
Ar-41	109.61	m	36
Ar-42	32.9	y	1
Ar-43	5.37	m	381
Ar-44	11.87	m	136
As-68	151.6	s	350
As-69	15.23	m	542
As-70	52.6	m	481
As-71	65.28	h	975
As-72	26	h	612
As-73	80.3	d	55
As-74	17.77	d	187
As-76	1.0778	d	420
As-77	38.83	h	153
As-78	90.7	m	495
As-79	9.01	m	119
At-204	9.2	m	395
At-205	26.2	m	873
At-206	30.6	m	559
At-207	1.8	h	1436
At-208	1.63	h	1034
At-209	5.41	h	555
At-210	8.1	h	691
At-211	7.214	h	197
At-215	1e-4	s	95
At-216	3e-4	s	142
At-217	0.0323	s	106
At-218	1.5	s	7
At-219	56	s	2
At-220	3.71	m	130
Au-186	10.7	m	488
Au-187	8.4	m	1819
Au-190	42.8	m	752
Au-191	3.18	h	752
Au-192	4.94	h	1906
Au-193	17.65	h	371
Au-193m	3.9	s	185
Au-194	38.02	h	1285
Au-195	186.098	d	110
Au-195m	30.5	s	109
Au-196	6.183	d	267
Au-196m	9.6	h	151
Au-198	2.69517	d	101
